experiment_id;model_name;param_val;acquisition;ratio;config_yaml
RANDOM_FOREST-20251015-55bvv8em-25_EI_10pct;random_forest;25;EI;0,1;RANDOM_FOREST-20251015-55bvv8em-25_EI_10pct.yaml
RANDOM_FOREST-20251015-soa3abk8-25_PI_10pct;random_forest;25;PI;0,1;RANDOM_FOREST-20251015-soa3abk8-25_PI_10pct.yaml
RANDOM_FOREST-20251015-0mnopfil-25_LCB_10pct;random_forest;25;LCB;0,1;RANDOM_FOREST-20251015-0mnopfil-25_LCB_10pct.yaml
RANDOM_FOREST-20251015-ln7fb85o-50_EI_10pct;random_forest;50;EI;0,1;RANDOM_FOREST-20251015-ln7fb85o-50_EI_10pct.yaml
RANDOM_FOREST-20251015-ra5jcysb-50_PI_10pct;random_forest;50;PI;0,1;RANDOM_FOREST-20251015-ra5jcysb-50_PI_10pct.yaml
RANDOM_FOREST-20251015-11u6em91-50_LCB_10pct;random_forest;50;LCB;0,1;RANDOM_FOREST-20251015-11u6em91-50_LCB_10pct.yaml
RANDOM_FOREST-20251015-0et6lr7m-100_EI_10pct;random_forest;100;EI;0,1;RANDOM_FOREST-20251015-0et6lr7m-100_EI_10pct.yaml
RANDOM_FOREST-20251015-6p1m0r3g-100_PI_10pct;random_forest;100;PI;0,1;RANDOM_FOREST-20251015-6p1m0r3g-100_PI_10pct.yaml
RANDOM_FOREST-20251015-v6md3jkj-100_LCB_10pct;random_forest;100;LCB;0,1;RANDOM_FOREST-20251015-v6md3jkj-100_LCB_10pct.yaml
GAUSSIAN_PROCESS-20251015-t7vryg6z-RBF_EI_10pct;gaussian_process;RBF;EI;0,1;GAUSSIAN_PROCESS-20251015-t7vryg6z-RBF_EI_10pct.yaml
GAUSSIAN_PROCESS-20251015-dq6inpuc-RBF_PI_10pct;gaussian_process;RBF;PI;0,1;GAUSSIAN_PROCESS-20251015-dq6inpuc-RBF_PI_10pct.yaml
GAUSSIAN_PROCESS-20251015-8gdbpwet-RBF_LCB_10pct;gaussian_process;RBF;LCB;0,1;GAUSSIAN_PROCESS-20251015-8gdbpwet-RBF_LCB_10pct.yaml
GAUSSIAN_PROCESS-20251015-gavfd75j-Matern_EI_10pct;gaussian_process;Matern;EI;0,1;GAUSSIAN_PROCESS-20251015-gavfd75j-Matern_EI_10pct.yaml
GAUSSIAN_PROCESS-20251015-ddl2u3ka-Matern_PI_10pct;gaussian_process;Matern;PI;0,1;GAUSSIAN_PROCESS-20251015-ddl2u3ka-Matern_PI_10pct.yaml
GAUSSIAN_PROCESS-20251015-xttrk0di-Matern_LCB_10pct;gaussian_process;Matern;LCB;0,1;GAUSSIAN_PROCESS-20251015-xttrk0di-Matern_LCB_10pct.yaml
GAUSSIAN_PROCESS-20251015-hviagqjl-RQ_EI_10pct;gaussian_process;RQ;EI;0,1;GAUSSIAN_PROCESS-20251015-hviagqjl-RQ_EI_10pct.yaml
GAUSSIAN_PROCESS-20251015-hnzx3orm-RQ_PI_10pct;gaussian_process;RQ;PI;0,1;GAUSSIAN_PROCESS-20251015-hnzx3orm-RQ_PI_10pct.yaml
GAUSSIAN_PROCESS-20251015-dzil685r-RQ_LCB_10pct;gaussian_process;RQ;LCB;0,1;GAUSSIAN_PROCESS-20251015-dzil685r-RQ_LCB_10pct.yaml
GAUSSIAN_PROCESS-20251015-rjckmv8e-ESS_EI_10pct;gaussian_process;ESS;EI;0,1;GAUSSIAN_PROCESS-20251015-rjckmv8e-ESS_EI_10pct.yaml
GAUSSIAN_PROCESS-20251015-6n28jgf2-ESS_PI_10pct;gaussian_process;ESS;PI;0,1;GAUSSIAN_PROCESS-20251015-6n28jgf2-ESS_PI_10pct.yaml
GAUSSIAN_PROCESS-20251015-r2nmygcv-ESS_LCB_10pct;gaussian_process;ESS;LCB;0,1;GAUSSIAN_PROCESS-20251015-r2nmygcv-ESS_LCB_10pct.yaml
