"","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final","material_LiTFSI","material_NaTFSI","print_type_PCB"
"1",1.4,10,2.91897766767892e-06,0,1,1
"2",2.9,10,2.75001948678457e-06,0,1,1
"3",4.3,10,2.61645295667161e-06,0,1,1
"4",5.7,10,2.08951929811273e-06,0,1,1
"5",7.1,10,1.77075628570111e-06,0,1,1
"6",8.6,10,1.81028873064434e-06,0,1,1
"7",10,10,1.78341800180593e-06,0,1,1
"8",5,2.9,9.09440552108943e-07,0,1,1
"9",5,5.7,1.55578429553914e-06,0,1,1
"10",5,8.6,2.36241616033917e-06,0,1,1
"11",5,11,2.3572530420354e-06,0,1,1
"12",5,14,2.77401086213579e-06,0,1,1
"13",5,17,2.70521288650428e-06,0,1,1
"14",5,20,2.54285454761815e-06,0,1,1
"15",5,0,9.11037181459307e-08,0,0,1
"16",0,25,4.67805562157836e-06,0,1,1
"17",2,26,4.27824054739855e-06,0,1,1
"18",4,26,4.36198624717107e-06,0,1,1
"19",6,27,3.8153290875601e-06,0,1,1
"20",8,27,4.48959318940864e-06,0,1,1
"21",10,28,4.35186767411523e-06,0,1,1
"22",12,28,5.11495949236015e-06,0,1,1
"23",14,29,4.45683589774775e-06,0,1,1
"24",10,20,2.46929198741715e-06,0,1,1
"25",0,10,2.90680607222778e-06,0,1,1
"26",8.6,20,3.2987192958276e-06,0,1,1
"27",7.1,20,3.2140933766591e-06,0,1,1
"28",5.7,20,3.60429812962176e-06,0,1,1
"29",4.3,20,3.63017033218671e-06,0,1,1
"30",2.9,20,3.97437338504504e-06,0,1,1
"31",1.4,20,5.100342047843e-06,0,1,1
"32",0,20,3.71658764678102e-06,0,1,1
"33",10,17,2.08833742515358e-06,0,1,1
"34",10,14,2.06257743788658e-06,0,1,1
"35",10,11,1.77162363228362e-06,0,1,1
"36",10,8.6,1.28823005222504e-06,0,1,1
"37",10,5.7,1.26438874296331e-06,0,1,1
"38",10,2.9,8.46877500973027e-07,0,1,1
"39",10,0,3.82324493663248e-08,0,0,1
"40",0,10,5.05950509116693e-06,1,0,1
"41",2.1,10,1.48731365636506e-05,1,0,1
"42",4.3,10,6.56378837681272e-06,1,0,1
"43",6.4,10,6.8302534401274e-06,1,0,1
"44",8.6,10,1.54436087640705e-05,1,0,1
"45",11,10,9.06441169412507e-06,1,0,1
"46",13,10,2.9802001426314e-05,1,0,1
"47",15,10,1.12902683422042e-05,1,0,1
"48",2.1,20,7.78167659738634e-06,1,0,1
"49",4.3,20,8.20654319279458e-06,1,0,1
"50",6.4,20,8.44007405201127e-06,1,0,1
"51",8.6,20,8.10792760214039e-06,1,0,1
"52",11,20,9.29246336087482e-06,1,0,1
"53",13,20,8.99377403821023e-06,1,0,1
"54",15,20,9.93359776494142e-06,1,0,1
"55",0,20,6.46002347516086e-06,1,0,1
"56",0,30,4.55935648153044e-06,1,0,1
"57",0,26,5.57883463213741e-06,1,0,1
"58",0,21,6.86504574812196e-06,1,0,1
"59",0,17,6.50359486391655e-06,1,0,1
"60",0,13,6.08928830330965e-06,1,0,1
"61",0,8.6,5.35163931003088e-06,1,0,1
"62",0,4.3,3.34429715386354e-06,1,0,1
"63",0,0,5.75099225154079e-07,0,0,1
"64",15,30,3.58436623988439e-06,1,0,1
"65",13,30,5.26219425920903e-06,1,0,1
"66",11,30,5.0690056976182e-06,1,0,1
"67",8.6,30,4.94526385661605e-06,1,0,1
"68",6.4,30,4.93647279281685e-06,1,0,1
"69",4.3,30,4.70532776019657e-06,1,0,1
"70",2.1,30,4.62353888557553e-06,1,0,1
"71",7.5,0,4.26519364554864e-07,0,0,1
"72",7.5,4.3,2.55700188143637e-06,1,0,1
"73",7.5,8.6,4.82789863525908e-06,1,0,1
"74",7.5,13,4.65861045181845e-06,1,0,1
"75",7.5,17,5.06506921484611e-06,1,0,1
"76",7.5,30,6.67596963149767e-06,1,0,1
"77",7.5,21,6.38822461382927e-06,1,0,1
"78",7.5,26,4.95299443440918e-06,1,0,1
"79",15,0,1.02040978805635e-07,0,0,1
"80",15,4.3,9.64383180601936e-07,1,0,1
"81",15,8.6,2.32567126279591e-06,1,0,1
"82",15,13,2.95331969387273e-06,1,0,1
"83",15,17,2.87710734794816e-06,1,0,1
"84",15,26,6.92288623633432e-06,1,0,1
"85",15,21,7.35635007265458e-06,1,0,1
"86",2.1,0,2.50849775845866e-06,0,0,1
"87",4.3,0,2.50966560683245e-06,0,0,1
"88",6.4,0,2.52152787128922e-06,0,0,1
"89",8.6,0,3.20024786548895e-06,0,0,1
"90",11,0,2.87367326870921e-06,0,0,1
"91",13,0,6.08471385699148e-09,0,0,1
